G1x,G1y,G1z,G2x,G2y,G2z,Vb1,Vb2,Ac1,AC2,Labels
0.022396,0.069203,-0.10424,0.19213,0.010632,0.13941,-1.77E-03,2.78E-03,-0.031823,0.063192,Imbalance
0.020824,0.059409,0.081923,-0.026856,0.0099768,0.13922,1.43E-03,3.04E-03,-0.035111,0.047411,Imbalance
0.014015,-0.021076,-0.018227,-0.19459,-0.032523,0.12958,4.09E-03,3.23E-03,-0.038727,-0.014069,Imbalance
0.04736,0.031147,-0.025164,0.26399,0.036542,0.16427,-1.43E-03,3.53E-03,-0.041029,-0.010782,Imbalance
0.052674,-0.11094,0.09874,-0.43541,-0.050206,0.16053,4.11E-04,2.72E-03,-0.040042,-0.003877,Imbalance
0.047058,0.034081,-0.10093,0.40668,0.064533,0.16164,2.52E-03,3.33E-03,-0.039056,0.022424,Imbalance
0.051166,-0.091447,0.14252,-0.57626,-0.042492,0.15987,5.98E-04,3.34E-03,-0.036426,0.010917,Imbalance
0.052571,-0.013081,-0.11521,0.30452,0.043215,0.16304,2.98E-05,3.48E-03,-0.033138,-0.02459,Imbalance
0.054002,0.013011,0.13839,-0.35013,-0.0077504,0.16958,5.29E-04,3.09E-03,-0.030837,0.01026,Imbalance
0.054342,0.019485,-0.063228,0.018504,0.011467,0.16569,2.24E-03,2.88E-03,-0.026563,0.044123,Imbalance
0.055491,0.091853,0.061625,0.015292,0.023227,0.17094,1.65E-03,3.43E-03,-0.020316,0.017164,Imbalance
0.054824,0.037723,0.02081,-0.32607,-0.046949,0.16523,-5.50E-04,3.54E-03,-0.019658,-0.017357,Imbalance
0.054856,0.11017,-0.038696,0.33603,0.027987,0.16918,1.02E-03,3.63E-03,-0.020645,-0.00585,Imbalance
0.053604,-0.055696,0.1066,-0.5288,-0.090786,0.1601,1.08E-03,2.87E-03,-0.020974,0.011246,Imbalance
0.055645,0.090485,-0.10424,0.4517,0.024371,0.16706,1.61E-04,2.79E-03,-0.021631,0.008945,Imbalance
0.053681,-0.0020994,0.15073,-0.46142,-0.0644,0.16263,2.08E-03,3.52E-03,-0.025248,0.036562,Imbalance
0.054509,0.068291,-0.12183,0.31878,0.03527,0.16409,2.65E-03,2.91E-03,-0.027878,0.05037,Imbalance
0.051615,0.062858,0.12252,-0.14778,0.0056542,0.16429,-4.57E-04,3.41E-03,-0.026234,0.044123,Imbalance
0.050922,0.0065573,-0.057947,0.026848,0.014171,0.15911,2.80E-04,2.95E-03,-0.022946,0.024068,Imbalance
0.054124,0.10113,0.026481,0.13454,0.066845,0.16888,2.35E-03,3.61E-03,-0.023933,0.044781,Imbalance
0.058263,0.010796,0.038967,-0.37682,-0.0098506,0.1673,9.58E-04,3.49E-03,-0.022946,0.017822,Imbalance
0.058867,0.10752,-0.039304,0.42107,0.083686,0.17359,1.38E-04,3.02E-03,-0.020974,-0.018343,Imbalance
0.055587,-0.045608,0.09268,-0.47864,-0.028374,0.16327,3.58E-06,3.47E-03,-0.018343,0.033931,Imbalance
0.056755,0.069948,-0.12242,0.45583,0.068971,0.16713,1.90E-03,3.49E-03,-0.016042,0.053986,Imbalance
0.055523,-0.027922,0.16492,-0.44933,-0.025702,0.16484,1.75E-03,2.95E-03,-0.016042,0.00763,Imbalance
0.05304,0.02328,-0.12828,0.21219,0.034461,0.16259,-4.60E-04,2.97E-03,-0.015713,-0.003549,Imbalance
0.038915,0.031879,0.14588,-0.19938,0.00096551,0.1518,1.00E-03,2.98E-03,-0.019001,0.002698,Imbalance
0.041186,-0.023221,-0.027427,-0.20508,-0.040963,0.14764,1.51E-03,3.56E-03,-0.022946,0.014205,Imbalance
0.042406,0.104,0.015821,0.16674,0.017074,0.15699,3.53E-04,3.53E-03,-0.024919,0.036233,Imbalance
0.038446,-0.039077,0.080779,-0.5207,-0.077163,0.14676,9.41E-04,3.19E-03,-0.023604,0.00204,Imbalance
0.042464,0.13239,-0.086447,0.38004,0.033144,0.15813,3.33E-04,3.52E-03,-0.024919,-0.009795,Imbalance
0.037548,-0.012278,0.14077,-0.66565,-0.079533,0.14943,7.52E-04,3.06E-03,-0.026234,0.032945,Imbalance
0.040147,0.12134,-0.11782,0.34795,0.047968,0.1555,9.10E-04,3.36E-03,-0.027549,0.016506,Imbalance
0.040038,0.080441,0.11845,-0.37833,-0.0057785,0.15485,1.33E-03,2.93E-03,-0.032481,-0.005193,Imbalance
0.045377,0.10312,-0.093066,0.14289,0.046176,0.15889,1.39E-03,3.41E-03,-0.034782,-0.030837,Imbalance
0.048881,0.10911,0.068342,-0.08888,0.04326,0.16635,7.69E-04,3.61E-03,-0.035111,0.002698,Imbalance
0.048554,-0.012329,-0.031662,-0.26625,0.0014472,0.15982,9.55E-04,3.28E-03,-0.035768,0.052671,Imbalance
0.051608,0.10917,-0.0017994,0.28655,0.083673,0.17039,1.66E-03,3.01E-03,-0.034782,0.022096,Imbalance
0.048599,-0.030124,0.075011,-0.46496,-0.014366,0.15912,8.63E-04,3.01E-03,-0.035768,-0.020974,Imbalance
0.047668,0.10434,-0.10054,0.44134,0.089974,0.16538,1.57E-04,3.62E-03,-0.037083,-0.04333,Imbalance
0.039537,-0.042082,0.12439,-0.51111,-0.022478,0.15257,1.42E-03,3.14E-03,-0.036755,0.011246,Imbalance
0.043048,0.057232,-0.13558,0.33511,0.067365,0.15807,3.53E-04,3.50E-03,-0.036755,0.035575,Imbalance
0.040134,0.00069413,0.14878,-0.40487,0.0064892,0.15417,1.35E-03,3.10E-03,-0.036426,-0.001576,Imbalance
0.040866,-0.00069299,-0.086398,-0.076058,0.025739,0.1534,2.40E-03,2.20E-03,-0.038399,-0.046289,Imbalance
0.039037,0.10387,0.075595,0.028454,0.048514,0.15714,-1.73E-03,2.59E-03,-0.037741,-0.046618,Imbalance
0.035122,0.026189,-0.0035274,-0.29956,-0.022285,0.14735,-2.68E-03,3.83E-03,-0.035111,-0.000918,Imbalance
0.036322,0.15906,-0.029204,0.28115,0.032052,0.15365,5.49E-03,4.37E-03,-0.035111,0.010917,Imbalance
0.034057,0.035944,0.1168,-0.43325,-0.10803,0.14684,1.21E-03,3.74E-03,-0.034453,-0.011768,Imbalance
0.013944,0.1456,-0.11619,0.36848,0.0054037,0.13194,-1.06E-03,2.85E-03,-0.033138,-0.050892,Imbalance
0.015362,0.067424,0.16204,-0.36935,-0.079025,0.13027,9.97E-04,2.82E-03,-0.031494,-0.016042,Imbalance
0.018205,0.11913,-0.12208,0.24365,-0.0087266,0.13263,6.71E-04,3.63E-03,-0.029522,0.037877,Imbalance
0.020028,0.14557,0.092364,-0.17841,-0.041323,0.13673,-2.79E-04,3.29E-03,-0.031166,0.008287,Imbalance
0.022268,0.12345,-0.084962,-0.0013466,-0.041349,0.1373,1.58E-03,3.07E-03,-0.032481,-0.030179,Imbalance
0.025515,0.12884,0.042252,0.13394,0.0026676,0.14265,2.60E-03,2.34E-03,-0.035768,-0.022289,Imbalance
0.023359,0.0010345,0.077834,-0.28301,-0.060463,0.13388,-1.31E-04,3.38E-03,-0.033467,-0.010453,Imbalance
0.024629,0.091564,-0.088905,0.35368,0.071136,0.13995,-1.27E-03,4.21E-03,-0.030508,-0.016042,Imbalance
0.02443,0.031404,0.066906,-0.41354,-0.010069,0.1383,1.79E-03,3.71E-03,-0.027878,-0.011439,Imbalance
